Make,Model,Type,Size,Overall,MV,SV,SV roll,Model Years,Exposure
Mitsubishi,Mirage hatchback,4-DOOR CARS,Mini,72,52,18,5,2014-17,171842
Kia,Rio,4-DOOR CARS,Mini,87,51,38,0,2014-17,204326
Hyundai,Accent,4-DOOR CARS,Mini,116,85,28,9,2014-17,417171
Ford,Fiesta,4-DOOR CARS,Mini,141,98,46,13,2014-17,357492
Volkswagen,Golf,4-DOOR CARS,Small,0,0,0,0,2015-17,10884
Nissan,Leaf,4-DOOR CARS,Small,5,0,5,0,2014-17,164259
Volkswagen,GTI,4-DOOR CARS,Small,11,11,0,0,2015-17,137682
Nissan,Juke 2WD,4-DOOR CARS,Small,12,6,6,6,2014-17,126805
Acura,ILX,4-DOOR CARS,Small,26,20,5,0,2014-17,162116
Mazda,3 hatchback,4-DOOR CARS,Small,27,12,16,2,2014-17,348619
Mitsubishi,Lancer 2WD,4-DOOR CARS,Small,31,25,6,0,2014-17,124110
Mazda,3 sedan,4-DOOR CARS,Small,39,27,13,1,2014-17,602393
Hyundai,Elantra GT,4-DOOR CARS,Small,44,19,27,0,2014-17,174343
Honda,Civic,4-DOOR CARS,Small,46,30,15,4,2016-17,91243
Chevrolet,Cruze,4-DOOR CARS,Small,49,35,13,5,2016-17,351592
Toyota,Corolla,4-DOOR CARS,Small,54,40,15,3,2017,309773
Subaru,WRX,4-DOOR CARS,Small,54,31,24,4,2015-17,196935
Nissan,Juke 4WD,4-DOOR CARS,Small,65,22,48,0,2014-17,115704
Ford,Focus,4-DOOR CARS,Small,68,48,19,9,2014-17,1329370
Nissan,Sentra,4-DOOR CARS,Small,81,53,26,11,2014-17,1950927
Nissan,Versa,4-DOOR CARS,Small,88,49,42,14,2014-17,828218
Hyundai,Elantra,4-DOOR CARS,Small,89,71,15,9,2017,267872
Kia,Forte,4-DOOR CARS,Small,89,63,24,2,2014-17,778579
Chevrolet,Sonic,4-DOOR CARS,Small,98,64,34,10,2014-17,418163
Subaru,Legacy,4-DOOR CARS,Midsize,14,9,5,2,2015-17,32925
Ford,Fusion plug-in hybrid,4-DOOR CARS,Midsize,15,0,15,0,2014-17,100620
Ford,Fusion 4WD,4-DOOR CARS,Midsize,22,11,11,0,2014-17,135342
Ford,Fusion hybrid 2WD,4-DOOR CARS,Midsize,34,28,5,6,2014-17,294573
Toyota,Camry,4-DOOR CARS,Midsize,34,23,11,4,2014-17,3622339
Honda,Accord,4-DOOR CARS,Midsize,34,24,9,3,2014-17,320332
Kia,Optima,4-DOOR CARS,Midsize,37,15,23,10,2016-17,302125
Ford,Fusion 2WD,4-DOOR CARS,Midsize,39,29,10,3,2014-17,2181340
Toyota,Camry hybrid,4-DOOR CARS,Midsize,41,35,5,0,2014-17,298667
Mazda,6 2WD,4-DOOR CARS,Midsize,41,24,18,4,2014-17,569238
Hyundai,Sonata,4-DOOR CARS,Midsize,48,25,23,8,2015-17,1151787
Chrysler,200 2WD,4-DOOR CARS,Midsize,52,21,32,3,2015-17,784265
Volkswagen,Jetta,4-DOOR CARS,Midsize,53,34,19,4,2014-17,1298283
